"variable","countryname","countrycode","year","value"
"Adjusted savings: carbon dioxide damage (% of GNI)","Comoros","COM","yr2009","0.2125842149"
"Adjusted savings: carbon dioxide damage (% of GNI)","Congo, Dem. Rep.","ZAR","yr2009","0.1530679502"
"Adjusted savings: carbon dioxide damage (% of GNI)","Congo, Rep.","COG","yr2009","0.2244916795"
"Adjusted savings: carbon dioxide damage (% of GNI)","Costa Rica","CRI","yr2009","0.2468078871"
"Adjusted savings: carbon dioxide damage (% of GNI)","Cote d'Ivoire","CIV","yr2009","0.2305059837"
"Adjusted savings: carbon dioxide damage (% of GNI)","Croatia","HRV","yr2009","0.3266776065"
"Adjusted savings: carbon dioxide damage (% of GNI)","Cuba","CUB","yr2009","0.454521781"
"Adjusted savings: carbon dioxide damage (% of GNI)","Curacao","CUW","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Cyprus","CYP","yr2009","0.3063414875"
"Adjusted savings: carbon dioxide damage (% of GNI)","Czech Republic","CZE","yr2009","0.5170685362"
"Adjusted savings: carbon dioxide damage (% of GNI)","Denmark","DNK","yr2009","0.1266349295"
"Adjusted savings: carbon dioxide damage (% of GNI)","Djibouti","DJI","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Dominica","DMA","yr2009","0.2430471923"
"Adjusted savings: carbon dioxide damage (% of GNI)","Dominican Republic","DOM","yr2009","0.4088905977"
"Adjusted savings: carbon dioxide damage (% of GNI)","Ecuador","ECU","yr2009","0.5190903636"
"Adjusted savings: carbon dioxide damage (% of GNI)","Egypt, Arab Rep.","EGY","yr2009","0.9621930944"
"Adjusted savings: carbon dioxide damage (% of GNI)","El Salvador","SLV","yr2009","0.294440658"
"Adjusted savings: carbon dioxide damage (% of GNI)","Equatorial Guinea","GNQ","yr2009","0.4692099396"
"Adjusted savings: carbon dioxide damage (% of GNI)","Eritrea","ERI","yr2009","0.2562798024"
"Adjusted savings: carbon dioxide damage (% of GNI)","Estonia","EST","yr2009","0.7114582841"
"Adjusted savings: carbon dioxide damage (% of GNI)","Ethiopia","ETH","yr2009","0.1860598024"
"Adjusted savings: carbon dioxide damage (% of GNI)","Faeroe Islands","FRO","yr2009","0.2351740913"
"Adjusted savings: carbon dioxide damage (% of GNI)","Fiji","FJI","yr2009","0.2722109991"
"Adjusted savings: carbon dioxide damage (% of GNI)","Finland","FIN","yr2009","0.1917777767"
"Adjusted savings: carbon dioxide damage (% of GNI)","France","FRA","yr2009","0.119501995"
"Adjusted savings: carbon dioxide damage (% of GNI)","French Polynesia","PYF","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Gabon","GAB","yr2009","0.1768942428"
"Adjusted savings: carbon dioxide damage (% of GNI)","Gambia, The","GMB","yr2009","0.4594560001"
"Adjusted savings: carbon dioxide damage (% of GNI)","Georgia","GEO","yr2009","0.5371852014"
"Adjusted savings: carbon dioxide damage (% of GNI)","Germany","DEU","yr2009","0.1895547899"
"Adjusted savings: carbon dioxide damage (% of GNI)","Ghana","GHA","yr2009","0.2736115653"
"Adjusted savings: carbon dioxide damage (% of GNI)","Greece","GRC","yr2009","0.2706700955"
"Adjusted savings: carbon dioxide damage (% of GNI)","Greenland","GRL","yr2009","0.4618106701"
"Adjusted savings: carbon dioxide damage (% of GNI)","Grenada","GRD","yr2009","0.3282880411"
"Adjusted savings: carbon dioxide damage (% of GNI)","Guam","GUM","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Guatemala","GTM","yr2009","0.3127144802"
"Adjusted savings: carbon dioxide damage (% of GNI)","Guinea","GIN","yr2009","0.4715986334"
"Adjusted savings: carbon dioxide damage (% of GNI)","Guinea-Bissau","GNB","yr2009","0.2643765066"
"Adjusted savings: carbon dioxide damage (% of GNI)","Guyana","GUY","yr2009","0.7161745707"
"Adjusted savings: carbon dioxide damage (% of GNI)","Haiti","HTI","yr2009","0.3150933285"
"Adjusted savings: carbon dioxide damage (% of GNI)","Honduras","HND","yr2009","0.502132746"
"Adjusted savings: carbon dioxide damage (% of GNI)","Hong Kong SAR, China","HKG","yr2009","0.1541823373"
"Adjusted savings: carbon dioxide damage (% of GNI)","Hungary","HUN","yr2009","0.3630361696"
"Adjusted savings: carbon dioxide damage (% of GNI)","Iceland","ISL","yr2009","0.1800690652"
"Adjusted savings: carbon dioxide damage (% of GNI)","India","IND","yr2009","1.330662427"
"Adjusted savings: carbon dioxide damage (% of GNI)","Indonesia","IDN","yr2009","0.7995306779"
"Adjusted savings: carbon dioxide damage (% of GNI)","Iran, Islamic Rep.","IRN","yr2009","1.5575669242"
"Adjusted savings: carbon dioxide damage (% of GNI)","Iraq","IRQ","yr2009","0.8350545098"
"Adjusted savings: carbon dioxide damage (% of GNI)","Ireland","IRL","yr2009","0.1890029088"
"Adjusted savings: carbon dioxide damage (% of GNI)","Isle of Man","IMY","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Israel","ISR","yr2009","0.2941472431"
"Adjusted savings: carbon dioxide damage (% of GNI)","Italy","ITA","yr2009","0.1689541898"
"Adjusted savings: carbon dioxide damage (% of GNI)","Jamaica","JAM","yr2009","0.6890308626"
"Adjusted savings: carbon dioxide damage (% of GNI)","Japan","JPN","yr2009","0.1954855452"
"Adjusted savings: carbon dioxide damage (% of GNI)","Jordan","JOR","yr2009","0.8268753174"
"Adjusted savings: carbon dioxide damage (% of GNI)","Kazakhstan","KAZ","yr2009","1.9164505002"
"Adjusted savings: carbon dioxide damage (% of GNI)","Kenya","KEN","yr2009","0.3068825264"
"Adjusted savings: carbon dioxide damage (% of GNI)","Kiribati","KIR","yr2009","0.2055355424"
"Adjusted savings: carbon dioxide damage (% of GNI)","Korea, Dem. Rep.","PRK","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Korea, Rep.","KOR","yr2009","0.5196051367"
"Adjusted savings: carbon dioxide damage (% of GNI)","Kosovo","KSV","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Kuwait","KWT","yr2009","0.682483941"
"Adjusted savings: carbon dioxide damage (% of GNI)","Kyrgyz Republic","KGZ","yr2009","1.2950287866"
"Adjusted savings: carbon dioxide damage (% of GNI)","Lao PDR","LAO","yr2009","0.1599054684"
"Adjusted savings: carbon dioxide damage (% of GNI)","Latvia","LVA","yr2009","0.2440614982"
"Adjusted savings: carbon dioxide damage (% of GNI)","Lebanon","LBN","yr2009","0.5503823786"
"Adjusted savings: carbon dioxide damage (% of GNI)","Lesotho","LSO","yr2009","0.9205740168"
"Adjusted savings: carbon dioxide damage (% of GNI)","Liberia","LBR","yr2009","0.4801054254"
"Adjusted savings: carbon dioxide damage (% of GNI)","Libya","LBY","yr2009","0.9002116421"
"Adjusted savings: carbon dioxide damage (% of GNI)","Liechtenstein","LIE","yr2009","0.0130618316"
"Adjusted savings: carbon dioxide damage (% of GNI)","Lithuania","LTU","yr2009","0.296961308"
"Adjusted savings: carbon dioxide damage (% of GNI)","Luxembourg","LUX","yr2009","0.2899492418"
"Adjusted savings: carbon dioxide damage (% of GNI)","Macao SAR, China","MAC","yr2009","0.0688242085"
"Adjusted savings: carbon dioxide damage (% of GNI)","Macedonia, FYR","MKD","yr2009","0.8561195489"
"Adjusted savings: carbon dioxide damage (% of GNI)","Madagascar","MDG","yr2009","0.205922894"
"Adjusted savings: carbon dioxide damage (% of GNI)","Malawi","MWI","yr2009","0.1951697687"
"Adjusted savings: carbon dioxide damage (% of GNI)","Malaysia","MYS","yr2009","0.9453425973"
"Adjusted savings: carbon dioxide damage (% of GNI)","Maldives","MDV","yr2009","0.5176772954"
"Adjusted savings: carbon dioxide damage (% of GNI)","Mali","MLI","yr2009","0.1239573536"
"Adjusted savings: carbon dioxide damage (% of GNI)","Malta","MLT","yr2009","0.2869058095"
"Adjusted savings: carbon dioxide damage (% of GNI)","Marshall Islands","MHL","yr2009","0.490613062"
"Adjusted savings: carbon dioxide damage (% of GNI)","Mauritania","MRT","yr2009","0.5446024279"
"Adjusted savings: carbon dioxide damage (% of GNI)","Mauritius","MUS","yr2009","0.3862388059"
"Adjusted savings: carbon dioxide damage (% of GNI)","Mexico","MEX","yr2009","0.4704422874"
"Adjusted savings: carbon dioxide damage (% of GNI)","Micronesia, Fed. Sts.","FSM","yr2009","0.5264940823"
"Adjusted savings: carbon dioxide damage (% of GNI)","Moldova","MDA","yr2009","0.727697632"
"Adjusted savings: carbon dioxide damage (% of GNI)","Monaco","MCO","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Mongolia","MNG","yr2009","2.3142235115"
"Adjusted savings: carbon dioxide damage (% of GNI)","Montenegro","MNE","yr2009","0.404419161"
"Adjusted savings: carbon dioxide damage (% of GNI)","Morocco","MAR","yr2009","0.5447438829"
"Adjusted savings: carbon dioxide damage (% of GNI)","Mozambique","MOZ","yr2009","0.2258419312"
"Adjusted savings: carbon dioxide damage (% of GNI)","Myanmar","MMR","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Namibia","NAM","yr2009","0.3358429323"
"Adjusted savings: carbon dioxide damage (% of GNI)","Nepal","NPL","yr2009","0.2556483707"
"Adjusted savings: carbon dioxide damage (% of GNI)","Netherlands","NLD","yr2009","0.1825516644"
"Adjusted savings: carbon dioxide damage (% of GNI)","New Caledonia","NCL","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","New Zealand","NZL","yr2009","0.2571291058"
"Adjusted savings: carbon dioxide damage (% of GNI)","Nicaragua","NIC","yr2009","0.5149921026"
"Adjusted savings: carbon dioxide damage (% of GNI)","Niger","NER","yr2009","0.1972856892"
"Adjusted savings: carbon dioxide damage (% of GNI)","Nigeria","NGA","yr2009","0.4257693111"
"Adjusted savings: carbon dioxide damage (% of GNI)","Northern Mariana Islands","MNP","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Norway","NOR","yr2009","0.1235386777"
"Adjusted savings: carbon dioxide damage (% of GNI)","Oman","OMN","yr2009","0.8882923375"
"Adjusted savings: carbon dioxide damage (% of GNI)","Pakistan","PAK","yr2009","0.853415847"
"Adjusted savings: carbon dioxide damage (% of GNI)","Palau","PLW","yr2009","1.0592070949"
"Adjusted savings: carbon dioxide damage (% of GNI)","Panama","PAN","yr2009","0.2891324782"
"Adjusted savings: carbon dioxide damage (% of GNI)","Papua New Guinea","PNG","yr2009","0.5947586035"
"Adjusted savings: carbon dioxide damage (% of GNI)","Paraguay","PRY","yr2009","0.2817418094"
"Adjusted savings: carbon dioxide damage (% of GNI)","Peru","PER","yr2009","0.4183494232"
"Adjusted savings: carbon dioxide damage (% of GNI)","Philippines","PHL","yr2009","0.3075503989"
"Adjusted savings: carbon dioxide damage (% of GNI)","Poland","POL","yr2009","0.6482428335"
"Adjusted savings: carbon dioxide damage (% of GNI)","Portugal","PRT","yr2009","0.2133125973"
"Adjusted savings: carbon dioxide damage (% of GNI)","Puerto Rico","PRI","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Qatar","QAT","yr2009","0.7416162797"
"Adjusted savings: carbon dioxide damage (% of GNI)","Romania","ROM","yr2009","0.4626686737"
"Adjusted savings: carbon dioxide damage (% of GNI)","Russian Federation","RUS","yr2009","1.2229650964"
"Adjusted savings: carbon dioxide damage (% of GNI)","Rwanda","RWA","yr2009","0.1003074585"
"Adjusted savings: carbon dioxide damage (% of GNI)","Samoa","WSM","yr2009","0.3283364808"
"Adjusted savings: carbon dioxide damage (% of GNI)","San Marino","SMR","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Sao Tome and Principe","STP","yr2009","0.4293327866"
"Adjusted savings: carbon dioxide damage (% of GNI)","Saudi Arabia","SAU","yr2009","1.0178084773"
"Adjusted savings: carbon dioxide damage (% of GNI)","Senegal","SEN","yr2009","0.4253435501"
"Adjusted savings: carbon dioxide damage (% of GNI)","Serbia","SRB","yr2009","1.0110840238"
"Adjusted savings: carbon dioxide damage (% of GNI)","Seychelles","SYC","yr2009","0.8595197378"
"Adjusted savings: carbon dioxide damage (% of GNI)","Sierra Leone","SLE","yr2009","0.2250328733"
"Adjusted savings: carbon dioxide damage (% of GNI)","Singapore","SGP","yr2009","0.1193340093"
"Adjusted savings: carbon dioxide damage (% of GNI)","Sint Maarten (Dutch part)","SXM","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Slovak Republic","SVK","yr2009","0.3549805169"
"Adjusted savings: carbon dioxide damage (% of GNI)","Slovenia","SVN","yr2009","0.2853963343"
"Adjusted savings: carbon dioxide damage (% of GNI)","Solomon Islands","SLB","yr2009","0.4125298472"
"Adjusted savings: carbon dioxide damage (% of GNI)","Somalia","SOM","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","South Africa","ZAF","yr2009","1.5174319851"
"Adjusted savings: carbon dioxide damage (% of GNI)","South Sudan","SSD","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Spain","ESP","yr2009","0.179963877"
"Adjusted savings: carbon dioxide damage (% of GNI)","Sri Lanka","LKA","yr2009","0.2911349165"
"Adjusted savings: carbon dioxide damage (% of GNI)","St. Kitts and Nevis","KNA","yr2009","0.3543978526"
"Adjusted savings: carbon dioxide damage (% of GNI)","St. Lucia","LCA","yr2009","0.3126689279"
"Adjusted savings: carbon dioxide damage (% of GNI)","St. Martin (French part)","MAF","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","St. Vincent and the Grenadines","VCT","yr2009","0.3206793166"
"Adjusted savings: carbon dioxide damage (% of GNI)","Sudan","SDN","yr2009","0.2883277555"
"Adjusted savings: carbon dioxide damage (% of GNI)","Suriname","SUR","yr2009","0.5865706333"
"Adjusted savings: carbon dioxide damage (% of GNI)","Swaziland","SWZ","yr2009","0.3128679828"
"Adjusted savings: carbon dioxide damage (% of GNI)","Sweden","SWE","yr2009","0.0912023158"
"Adjusted savings: carbon dioxide damage (% of GNI)","Switzerland","CHE","yr2009","0.0694203114"
"Adjusted savings: carbon dioxide damage (% of GNI)","Syrian Arab Republic","SYR","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Taiwan, China","TWN","yr2009",".."
"Adjusted savings: carbon dioxide damage (% of GNI)","Tajikistan","TJK","yr2009","0.5313119862"
"Adjusted savings: carbon dioxide damage (% of GNI)","Tanzania","TZA","yr2009","0.2081475596"
"Adjusted savings: carbon dioxide damage (% of GNI)","Thailand","THA","yr2009","1.0129612814"
"Adjusted savings: carbon dioxide damage (% of GNI)","Timor-Leste","TMP","yr2009","0.0659081696"
"Adjusted savings: carbon dioxide damage (% of GNI)","Togo","TGO","yr2009","0.5516391784"
